popularity,song_id,artist_id,album_id,song_name,artist_name,album_name,explicit,disc_number,track_number,uri,tempo,type,key,loudness,mode,speechiness,liveness,valence,danceability,energy,track_href,analysis_url,duration_ms,time_signature,acousticness,instrumentalness,artist_genres,artist_popularity,album_genres,album_popularity,album_release_date
77,4v9WbaxW8HdjqfUiWYWsII,6Ff53KvcvAj5U7Z1vojB5o,6uIB97CqMcssTss9WrtX8c,Merry Christmas Happy Holidays,*NSYNC,Home For Christmas,False,1,4,spotify:track:4v9WbaxW8HdjqfUiWYWsII,104.999,audio_features,5,-3.967,1,0.0463,0.881,0.756,0.643,0.939,https://api.spotify.com/v1/tracks/4v9WbaxW8HdjqfUiWYWsII,https://api.spotify.com/v1/audio-analysis/4v9WbaxW8HdjqfUiWYWsII,255307,4,0.104,0.0,"['boy band', 'dance pop', 'post-teen pop']",73,[],71,1998-10-30
59,3cNhneDghtV9yHK2KeF0Es,6Ff53KvcvAj5U7Z1vojB5o,6uIB97CqMcssTss9WrtX8c,Home for Christmas,*NSYNC,Home For Christmas,False,1,1,spotify:track:3cNhneDghtV9yHK2KeF0Es,80.902,audio_features,9,-6.775,1,0.0376,0.124,0.458,0.6,0.684,https://api.spotify.com/v1/tracks/3cNhneDghtV9yHK2KeF0Es,https://api.spotify.com/v1/audio-analysis/3cNhneDghtV9yHK2KeF0Es,269427,4,0.425,0.0,"['boy band', 'dance pop', 'post-teen pop']",73,[],71,1998-10-30
54,42ahZK39o2uryeHVJbjqc0,6Ff53KvcvAj5U7Z1vojB5o,6uIB97CqMcssTss9WrtX8c,All I Want Is You (This Christmas),*NSYNC,Home For Christmas,False,1,7,spotify:track:42ahZK39o2uryeHVJbjqc0,95.016,audio_features,7,-5.645,1,0.0258,0.407,0.545,0.587,0.837,https://api.spotify.com/v1/tracks/42ahZK39o2uryeHVJbjqc0,https://api.spotify.com/v1/audio-analysis/42ahZK39o2uryeHVJbjqc0,225493,4,0.132,0.00015,"['boy band', 'dance pop', 'post-teen pop']",73,[],71,1998-10-30
53,7JkCwoxICUtwg2PrvxBlJ5,6Ff53KvcvAj5U7Z1vojB5o,6uIB97CqMcssTss9WrtX8c,O Holy Night - A Cappella,*NSYNC,Home For Christmas,False,1,11,spotify:track:7JkCwoxICUtwg2PrvxBlJ5,187.112,audio_features,5,-11.992,1,0.0293,0.107,0.299,0.199,0.217,https://api.spotify.com/v1/tracks/7JkCwoxICUtwg2PrvxBlJ5,https://api.spotify.com/v1/audio-analysis/7JkCwoxICUtwg2PrvxBlJ5,215600,3,0.901,0.0,"['boy band', 'dance pop', 'post-teen pop']",73,[],71,1998-10-30
52,6QTbNadGXZ2xUGQ0nZEhLw,6Ff53KvcvAj5U7Z1vojB5o,6uIB97CqMcssTss9WrtX8c,Under My Tree,*NSYNC,Home For Christmas,False,1,2,spotify:track:6QTbNadGXZ2xUGQ0nZEhLw,154.01,audio_features,8,-4.982,0,0.0266,0.132,0.217,0.529,0.592,https://api.spotify.com/v1/tracks/6QTbNadGXZ2xUGQ0nZEhLw,https://api.spotify.com/v1/audio-analysis/6QTbNadGXZ2xUGQ0nZEhLw,274173,3,0.00755,0.0,"['boy band', 'dance pop', 'post-teen pop']",73,[],71,1998-10-30
53,4mOPMSyc9tQsiB4BWFshbQ,6Ff53KvcvAj5U7Z1vojB5o,6uIB97CqMcssTss9WrtX8c,Kiss Me at Midnight,*NSYNC,Home For Christmas,False,1,14,spotify:track:4mOPMSyc9tQsiB4BWFshbQ,118.021,audio_features,9,-4.199,1,0.0318,0.256,0.88,0.706,0.948,https://api.spotify.com/v1/tracks/4mOPMSyc9tQsiB4BWFshbQ,https://api.spotify.com/v1/audio-analysis/4mOPMSyc9tQsiB4BWFshbQ,211187,4,0.0173,6.87e-05,"['boy band', 'dance pop', 'post-teen pop']",73,[],71,1998-10-30
52,7y8Wc2WQvyG05lpO0fBTtv,6Ff53KvcvAj5U7Z1vojB5o,6uIB97CqMcssTss9WrtX8c,The Christmas Song (Chestnuts Roasting on an Open Fire),*NSYNC,Home For Christmas,False,1,5,spotify:track:7y8Wc2WQvyG05lpO0fBTtv,102.427,audio_features,7,-9.974,1,0.0243,0.225,0.334,0.521,0.517,https://api.spotify.com/v1/tracks/7y8Wc2WQvyG05lpO0fBTtv,https://api.spotify.com/v1/audio-analysis/7y8Wc2WQvyG05lpO0fBTtv,195493,3,0.325,1.84e-05,"['boy band', 'dance pop', 'post-teen pop']",73,[],71,1998-10-30
51,60tynZB6YaV1Zt3MuodxWZ,6Ff53KvcvAj5U7Z1vojB5o,6uIB97CqMcssTss9WrtX8c,I Never Knew the Meaning of Christmas,*NSYNC,Home For Christmas,False,1,3,spotify:track:60tynZB6YaV1Zt3MuodxWZ,84.019,audio_features,9,-6.562,1,0.0247,0.141,0.374,0.595,0.701,https://api.spotify.com/v1/tracks/60tynZB6YaV1Zt3MuodxWZ,https://api.spotify.com/v1/audio-analysis/60tynZB6YaV1Zt3MuodxWZ,287893,4,0.105,0.0,"['boy band', 'dance pop', 'post-teen pop']",73,[],71,1998-10-30
51,07iHbbigSDl7kcWjKaiM3g,6Ff53KvcvAj5U7Z1vojB5o,6uIB97CqMcssTss9WrtX8c,The First Noel,*NSYNC,Home For Christmas,False,1,8,spotify:track:07iHbbigSDl7kcWjKaiM3g,83.308,audio_features,2,-6.008,1,0.0274,0.232,0.361,0.479,0.761,https://api.spotify.com/v1/tracks/07iHbbigSDl7kcWjKaiM3g,https://api.spotify.com/v1/audio-analysis/07iHbbigSDl7kcWjKaiM3g,210307,3,0.00657,0.0,"['boy band', 'dance pop', 'post-teen pop']",73,[],71,1998-10-30
50,0O3qXS5DEEqqOjYxGMhHjS,6Ff53KvcvAj5U7Z1vojB5o,6uIB97CqMcssTss9WrtX8c,I Guess It's Christmas Time,*NSYNC,Home For Christmas,False,1,6,spotify:track:0O3qXS5DEEqqOjYxGMhHjS,146.542,audio_features,6,-6.122,1,0.0241,0.179,0.274,0.464,0.535,https://api.spotify.com/v1/tracks/0O3qXS5DEEqqOjYxGMhHjS,https://api.spotify.com/v1/audio-analysis/0O3qXS5DEEqqOjYxGMhHjS,233773,4,0.123,0.0,"['boy band', 'dance pop', 'post-teen pop']",73,[],71,1998-10-30
