,popularity,song_id,artist_id,album_id,song_name,artist_name,album_name,explicit,disc_number,track_number,uri,tempo,type,key,loudness,mode,speechiness,liveness,valence,danceability,energy,track_href,analysis_url,duration_ms,time_signature,acousticness,instrumentalness,artist_genres,artist_popularity,album_genres,album_popularity,album_release_date
0,78,58ge6dfP91o9oXMzq3XkIS,7Ln80lUS6He07XvHI8qqHH,6rsQnwaoJHxXJRCDBPkBRw,505,Arctic Monkeys,Favourite Worst Nightmare (Standard Version),False,1,12,spotify:track:58ge6dfP91o9oXMzq3XkIS,140.267,audio_features,0,-5.866,1,0.0543,0.0733,0.234,0.52,0.852,https://api.spotify.com/v1/tracks/58ge6dfP91o9oXMzq3XkIS,https://api.spotify.com/v1/audio-analysis/58ge6dfP91o9oXMzq3XkIS,253587,4,0.00237,5.79e-05,"['garage rock', 'permanent wave', 'rock', 'sheffield indie']",85,[],74,2007-04-24
1,68,7e8utCy2JlSB8dRHKi49xM,7Ln80lUS6He07XvHI8qqHH,6rsQnwaoJHxXJRCDBPkBRw,Fluorescent Adolescent,Arctic Monkeys,Favourite Worst Nightmare (Standard Version),False,1,5,spotify:track:7e8utCy2JlSB8dRHKi49xM,112.115,audio_features,6,-5.29,0,0.0288,0.144,0.821,0.646,0.813,https://api.spotify.com/v1/tracks/7e8utCy2JlSB8dRHKi49xM,https://api.spotify.com/v1/audio-analysis/7e8utCy2JlSB8dRHKi49xM,173493,4,0.00178,2.26e-05,"['garage rock', 'permanent wave', 'rock', 'sheffield indie']",85,[],74,2007-04-24
2,58,7ABWRukVQcXrIrDKDx5Gek,7Ln80lUS6He07XvHI8qqHH,6rsQnwaoJHxXJRCDBPkBRw,Only Ones Who Know,Arctic Monkeys,Favourite Worst Nightmare (Standard Version),False,1,6,spotify:track:7ABWRukVQcXrIrDKDx5Gek,145.759,audio_features,7,-10.828,0,0.0363,0.109,0.0794,0.257,0.409,https://api.spotify.com/v1/tracks/7ABWRukVQcXrIrDKDx5Gek,https://api.spotify.com/v1/audio-analysis/7ABWRukVQcXrIrDKDx5Gek,181480,5,0.899,0.00293,"['garage rock', 'permanent wave', 'rock', 'sheffield indie']",85,[],74,2007-04-24
3,58,5rTIpPWeO0IL4HWlGWrz5G,7Ln80lUS6He07XvHI8qqHH,6rsQnwaoJHxXJRCDBPkBRw,Brianstorm,Arctic Monkeys,Favourite Worst Nightmare (Standard Version),False,1,1,spotify:track:5rTIpPWeO0IL4HWlGWrz5G,165.193,audio_features,1,-4.229,1,0.212,0.237,0.435,0.421,0.98,https://api.spotify.com/v1/tracks/5rTIpPWeO0IL4HWlGWrz5G,https://api.spotify.com/v1/audio-analysis/5rTIpPWeO0IL4HWlGWrz5G,170253,4,8.39e-05,0.00125,"['garage rock', 'permanent wave', 'rock', 'sheffield indie']",85,[],74,2007-04-24
4,58,3BcQFPRZuuUClWStz29WjN,7Ln80lUS6He07XvHI8qqHH,6rsQnwaoJHxXJRCDBPkBRw,Old Yellow Bricks,Arctic Monkeys,Favourite Worst Nightmare (Standard Version),False,1,11,spotify:track:3BcQFPRZuuUClWStz29WjN,135.155,audio_features,0,-4.453,1,0.0695,0.0808,0.75,0.663,0.839,https://api.spotify.com/v1/tracks/3BcQFPRZuuUClWStz29WjN,https://api.spotify.com/v1/audio-analysis/3BcQFPRZuuUClWStz29WjN,187133,4,0.000185,4.65e-06,"['garage rock', 'permanent wave', 'rock', 'sheffield indie']",85,[],74,2007-04-24
5,58,4OkPamOn5GofkOQu64Z4eR,7Ln80lUS6He07XvHI8qqHH,6rsQnwaoJHxXJRCDBPkBRw,Teddy Picker,Arctic Monkeys,Favourite Worst Nightmare (Standard Version),True,1,2,spotify:track:4OkPamOn5GofkOQu64Z4eR,150.223,audio_features,9,-3.386,1,0.112,0.104,0.8,0.637,0.973,https://api.spotify.com/v1/tracks/4OkPamOn5GofkOQu64Z4eR,https://api.spotify.com/v1/audio-analysis/4OkPamOn5GofkOQu64Z4eR,160640,4,0.000413,2.23e-05,"['garage rock', 'permanent wave', 'rock', 'sheffield indie']",85,[],74,2007-04-24
6,58,13NCxLOlvQ4Tnexgfp03Gs,7Ln80lUS6He07XvHI8qqHH,6rsQnwaoJHxXJRCDBPkBRw,Do Me a Favour,Arctic Monkeys,Favourite Worst Nightmare (Standard Version),True,1,7,spotify:track:13NCxLOlvQ4Tnexgfp03Gs,180.127,audio_features,11,-6.685,0,0.0582,0.101,0.636,0.471,0.735,https://api.spotify.com/v1/tracks/13NCxLOlvQ4Tnexgfp03Gs,https://api.spotify.com/v1/audio-analysis/13NCxLOlvQ4Tnexgfp03Gs,205240,4,7.84e-05,0.122,"['garage rock', 'permanent wave', 'rock', 'sheffield indie']",85,[],74,2007-04-24
7,52,45QyGXbqTWaFUrIKe2ugs3,7Ln80lUS6He07XvHI8qqHH,6rsQnwaoJHxXJRCDBPkBRw,D Is for Dangerous,Arctic Monkeys,Favourite Worst Nightmare (Standard Version),False,1,3,spotify:track:45QyGXbqTWaFUrIKe2ugs3,145.057,audio_features,1,-4.776,1,0.0365,0.145,0.736,0.551,0.928,https://api.spotify.com/v1/tracks/45QyGXbqTWaFUrIKe2ugs3,https://api.spotify.com/v1/audio-analysis/45QyGXbqTWaFUrIKe2ugs3,134733,4,1.05e-05,0.000108,"['garage rock', 'permanent wave', 'rock', 'sheffield indie']",85,[],74,2007-04-24
8,51,11DdPGqDsM3ux1gVAqUIln,7Ln80lUS6He07XvHI8qqHH,6rsQnwaoJHxXJRCDBPkBRw,Balaclava,Arctic Monkeys,Favourite Worst Nightmare (Standard Version),False,1,4,spotify:track:11DdPGqDsM3ux1gVAqUIln,137.836,audio_features,11,-4.524,0,0.105,0.343,0.642,0.417,0.824,https://api.spotify.com/v1/tracks/11DdPGqDsM3ux1gVAqUIln,https://api.spotify.com/v1/audio-analysis/11DdPGqDsM3ux1gVAqUIln,167440,4,0.00168,8.09e-05,"['garage rock', 'permanent wave', 'rock', 'sheffield indie']",85,[],74,2007-04-24
9,50,48ucaKjccruxDbi3Au5ZaH,7Ln80lUS6He07XvHI8qqHH,6rsQnwaoJHxXJRCDBPkBRw,The Bad Thing,Arctic Monkeys,Favourite Worst Nightmare (Standard Version),False,1,10,spotify:track:48ucaKjccruxDbi3Au5ZaH,111.121,audio_features,2,-3.737,1,0.0703,0.26,0.591,0.545,0.953,https://api.spotify.com/v1/tracks/48ucaKjccruxDbi3Au5ZaH,https://api.spotify.com/v1/audio-analysis/48ucaKjccruxDbi3Au5ZaH,143213,4,0.00118,0.0,"['garage rock', 'permanent wave', 'rock', 'sheffield indie']",85,[],74,2007-04-24
